trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_rating.started,estimation_exp1.png,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_exp2.png,estimation_exp3.png,estimation_exp4.png,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,end_experiment.keys,end_experiment.rt,end_experiment.duration,participant,date,expName,psychopyVersion,frameRate,ver,
,,,exp1.png,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.61899649999987,100.0,100.0,4.930193000000145,"[(100.0, 4.930193000000145)]",,,,,,,,,,,,,sub_926,2024-05-06_11h44.58.631,Reversal,2023.1.3,59.956962892113346,2,
,,,exp2.png,0,0,0,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.94912780000004,,1.0,2.8086167999999816,"[(1.0, 2.8086167999999816)]",1.0,,,,,,,,,,,,sub_926,2024-05-06_11h44.58.631,Reversal,2023.1.3,59.956962892113346,2,
,,,exp3.png,0,0,0,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0789963000002,,100.0,2.627195699999902,"[(100.0, 2.627195699999902)]",,100.0,,,,,,,,,,,sub_926,2024-05-06_11h44.58.631,Reversal,2023.1.3,59.956962892113346,2,
,,,exp4.png,0,0,0,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.5946057999995,,1.0,2.292609199999788,"[(1.0, 2.292609199999788)]",,,1.0,,,,,,,,,,sub_926,2024-05-06_11h44.58.631,Reversal,2023.1.3,59.956962892113346,2,
0,exp1.png,exp2.png,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_926,2024-05-06_11h44.58.631,Reversal,2023.1.3,59.956962892113346,2,
1,exp3.png,exp4.png,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,20,21,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.687853692088247,1,valid_win,122.3570778999997,11,,,,,,,,,,,,,,,,,,sub_926,2024-05-06_11h44.58.631,Reversal,2023.1.3,59.956962892113346,2,
2,exp1.png,exp2.png,,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,21,22,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.5976879279073799,1,valid_win,126.58928220000007,12,,,,,,,,,,,,,,,,,,sub_926,2024-05-06_11h44.58.631,Reversal,2023.1.3,59.956962892113346,2,
3,exp3.png,exp4.png,,1,0,1,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,22,23,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.9871747918068995,1,valid_win,130.98733500000026,13,,,,,,,,,,,,,,,,,,sub_926,2024-05-06_11h44.58.631,Reversal,2023.1.3,59.956962892113346,2,
4,exp1.png,exp2.png,,1,0,1,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,23,24,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.4991496137112226,1,valid_win,135.2527441999996,14,,,,,,,,,,,,,,,,,,sub_926,2024-05-06_11h44.58.631,Reversal,2023.1.3,59.956962892113346,2,
5,exp3.png,exp4.png,,1,0,1,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,24,25,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.26198380553878875,1,valid_win,139.45134559999997,15,,,,,,,,,,,,,,,,,,sub_926,2024-05-06_11h44.58.631,Reversal,2023.1.3,59.956962892113346,2,
6,exp1.png,exp2.png,,1,0,1,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,25,26,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.9862915033717609,1,valid_win,143.6498461999995,16,,,,,,,,,,,,,,,,,,sub_926,2024-05-06_11h44.58.631,Reversal,2023.1.3,59.956962892113346,2,
7,exp3.png,exp4.png,,1,0,1,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,26,27,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.9861707892939598,1,valid_win,147.632204,17,,,,,,,,,,,,,,,,,,sub_926,2024-05-06_11h44.58.631,Reversal,2023.1.3,59.956962892113346,2,
8,exp1.png,exp2.png,,1,0,1,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,False,27,28,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.9377249344920602,1,valid_win,151.84747709999965,18,,,,,,,,,,,,,,,,,,sub_926,2024-05-06_11h44.58.631,Reversal,2023.1.3,59.956962892113346,2,
9,exp3.png,exp4.png,,1,0,1,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,False,28,29,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.31470758989617587,1,valid_win,156.2621667999997,19,,,,,,,,,,,,,,,,,,sub_926,2024-05-06_11h44.58.631,Reversal,2023.1.3,59.956962892113346,2,
10,exp1.png,exp2.png,,1,0,1,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,False,29,30,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.5830493812139963,1,valid_win,160.34403909999992,20,,,,,,,,,,,,,,,,,,sub_926,2024-05-06_11h44.58.631,Reversal,2023.1.3,59.956962892113346,2,
11,exp3.png,exp4.png,,1,0,1,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,30,31,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.23256077536838282,0,invalid_lose,164.65951989999985,20,,,,,,,,,,,,,,,,,,sub_926,2024-05-06_11h44.58.631,Reversal,2023.1.3,59.956962892113346,2,
12,exp1.png,exp2.png,,1,0,1,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,False,31,32,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.33512082553420885,1,valid_win,168.87478109999984,21,,,,,,,,,,,,,,,,,,sub_926,2024-05-06_11h44.58.631,Reversal,2023.1.3,59.956962892113346,2,
13,exp3.png,exp4.png,,1,0,1,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,False,32,33,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.5874331166369113,1,valid_win,173.42320139999947,22,,,,,,,,,,,,,,,,,,sub_926,2024-05-06_11h44.58.631,Reversal,2023.1.3,59.956962892113346,2,
14,exp1.png,exp2.png,,1,0,1,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,False,33,34,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.8606867788587241,1,valid_win,177.8048917000001,23,,,,,,,,,,,,,,,,,,sub_926,2024-05-06_11h44.58.631,Reversal,2023.1.3,59.956962892113346,2,
15,exp3.png,exp4.png,,1,0,1,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,False,34,35,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.22423459617651975,0,invalid_lose,182.0702110999996,23,,,,,,,,,,,,,,,,,,sub_926,2024-05-06_11h44.58.631,Reversal,2023.1.3,59.956962892113346,2,
16,exp1.png,exp2.png,,1,0,1,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,False,35,36,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.332268952037862,1,valid_win,186.3689042000001,24,,,,,,,,,,,,,,,,,,sub_926,2024-05-06_11h44.58.631,Reversal,2023.1.3,59.956962892113346,2,
17,exp3.png,exp4.png,,1,0,1,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,False,36,37,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.17512893930133944,1,invalid_win,190.9007660000002,25,,,,,,,,,,,,,,,,,,sub_926,2024-05-06_11h44.58.631,Reversal,2023.1.3,59.956962892113346,2,
18,exp1.png,exp2.png,,1,0,1,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,False,37,38,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.027386346782242943,0,invalid_lose,195.43215839999948,25,,,,,,,,,,,,,,,,,,sub_926,2024-05-06_11h44.58.631,Reversal,2023.1.3,59.956962892113346,2,
19,exp3.png,exp4.png,,1,0,1,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,False,38,39,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.4803669182724607,0,valid_lose,199.83086330000015,25,,,,,,,,,,,,,,,,,,sub_926,2024-05-06_11h44.58.631,Reversal,2023.1.3,59.956962892113346,2,
20,exp1.png,exp2.png,,1,0,1,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,False,39,40,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.8034752423754083,1,valid_win,204.56249929999967,26,,,,,,,,,,,,,,,,,,sub_926,2024-05-06_11h44.58.631,Reversal,2023.1.3,59.956962892113346,2,
,,,exp1.png,1,0,1,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.5830513999995,100.0,100.0,3.826748399999815,"[(100.0, 3.826748399999815)]",,,,,,,,,,,,,sub_926,2024-05-06_11h44.58.631,Reversal,2023.1.3,59.956962892113346,2,
,,,exp2.png,1,0,1,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.4960765000001,,1.0,2.761512699999912,"[(1.0, 2.761512699999912)]",1.0,,,,,,,,,,,,sub_926,2024-05-06_11h44.58.631,Reversal,2023.1.3,59.956962892113346,2,
,,,exp3.png,1,0,1,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.5600965999997,,92.0,3.493719100000817,"[(92.0, 3.493719100000817)]",,92.0,,,,,,,,,,,sub_926,2024-05-06_11h44.58.631,Reversal,2023.1.3,59.956962892113346,2,
,,,exp4.png,1,0,1,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.4245096999998,,7.0,2.443663899999592,"[(7.0, 2.443663899999592)]",,,7.0,,,,,,,,,,sub_926,2024-05-06_11h44.58.631,Reversal,2023.1.3,59.956962892113346,2,
0,exp1.png,exp2.png,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_926,2024-05-06_11h44.58.631,Reversal,2023.1.3,59.956962892113346,2,
1,exp3.png,exp4.png,,2,0,2,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,40,41,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.03756041594895798,0,invalid_lose,228.0211672999999,26,,,,,,,,,,,,,,,,,,sub_926,2024-05-06_11h44.58.631,Reversal,2023.1.3,59.956962892113346,2,
2,exp1.png,exp2.png,,2,0,2,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,41,42,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.41922379459060954,1,valid_win,232.58644400000003,27,,,,,,,,,,,,,,,,,,sub_926,2024-05-06_11h44.58.631,Reversal,2023.1.3,59.956962892113346,2,
3,exp3.png,exp4.png,,2,0,2,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,42,43,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.2239779736942018,1,invalid_win,236.7015682999995,28,,,,,,,,,,,,,,,,,,sub_926,2024-05-06_11h44.58.631,Reversal,2023.1.3,59.956962892113346,2,
4,exp1.png,exp2.png,,2,0,2,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,43,44,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.3357824516866905,1,valid_win,241.0171193000001,29,,,,,,,,,,,,,,,,,,sub_926,2024-05-06_11h44.58.631,Reversal,2023.1.3,59.956962892113346,2,
5,exp3.png,exp4.png,,2,0,2,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,44,45,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.4664554617403994,0,valid_lose,245.46554700000024,29,,,,,,,,,,,,,,,,,,sub_926,2024-05-06_11h44.58.631,Reversal,2023.1.3,59.956962892113346,2,
6,exp1.png,exp2.png,,2,0,2,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,45,46,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.168254313198562,0,invalid_lose,249.69734599999947,29,,,,,,,,,,,,,,,,,,sub_926,2024-05-06_11h44.58.631,Reversal,2023.1.3,59.956962892113346,2,
7,exp3.png,exp4.png,,2,0,2,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,46,47,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.7777554266836496,1,valid_win,254.07900589999963,30,,,,,,,,,,,,,,,,,,sub_926,2024-05-06_11h44.58.631,Reversal,2023.1.3,59.956962892113346,2,
